subject,predicate,object,category
http://dbpedia.org/resource/John_Armleder,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Ben_Vautier,sculptor
http://dbpedia.org/resource/John_Armleder,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Bibliothèque_nationale_de_France,sculptor
http://dbpedia.org/resource/John_Armleder,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Debrecen,sculptor
http://dbpedia.org/resource/John_Armleder,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Hungarian_National_Gallery,sculptor
http://dbpedia.org/resource/John_Armleder,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Hungary,sculptor
http://dbpedia.org/resource/John_Armleder,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Bibliothèque_Kandinsky,sculptor
http://dbpedia.org/resource/John_Armleder,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/DAAD_Artists-in-Berlin_Program,sculptor
http://dbpedia.org/resource/John_Armleder,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Venice_Biennale,sculptor
http://dbpedia.org/resource/John_Armleder,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Veszprém,sculptor
http://dbpedia.org/resource/John_Armleder,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/John_Armleder,sculptor
http://dbpedia.org/resource/John_Armleder,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:Living_people,sculptor
http://dbpedia.org/resource/John_Armleder,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Cologne,sculptor
http://dbpedia.org/resource/John_Armleder,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Cosey_Fanni_Tutti,sculptor
http://dbpedia.org/resource/John_Armleder,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Kunsthalle_Budapest,sculptor
